rs                       \eta                     K                        f_r                      f_p                      AUC                      AUPR                                                                                                                                               
5.999999999999999778e-01 6.999999999999999556e-01 1.000000000000000000e+01 5.000000000000000000e+02 3.000000000000000000e+02 9.569650641470673902e-01 5.966290939880297683e-01
6.999999999999999556e-01 5.000000000000000000e-01 3.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.535400640618685308e-01 5.643997281255498377e-01
6.999999999999999556e-01 5.000000000000000000e-01 5.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.562064787188284676e-01 5.775538501237302835e-01
6.999999999999999556e-01 5.000000000000000000e-01 1.000000000000000000e+01 5.000000000000000000e+02 3.000000000000000000e+02 9.553512842797153848e-01 5.787033626475013293e-01
6.999999999999999556e-01 5.999999999999999778e-01 3.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.523233944684752483e-01 5.683031603740482662e-01
6.999999999999999556e-01 5.999999999999999778e-01 5.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.561895555127829516e-01 5.842782415601159851e-01
6.999999999999999556e-01 5.999999999999999778e-01 1.000000000000000000e+01 5.000000000000000000e+02 3.000000000000000000e+02 9.565759979482697517e-01 5.924325947787415503e-01
6.999999999999999556e-01 6.999999999999999556e-01 3.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.513193324406585827e-01 5.685318146057004585e-01
6.999999999999999556e-01 6.999999999999999556e-01 5.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.551436428080825047e-01 5.902984464363489892e-01
6.999999999999999556e-01 6.999999999999999556e-01 1.000000000000000000e+01 5.000000000000000000e+02 3.000000000000000000e+02 9.572026656103608255e-01 5.961821834447135204e-01
8.000000000000000444e-01 5.000000000000000000e-01 3.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.528412102383323479e-01 5.629531232614555236e-01
8.000000000000000444e-01 5.000000000000000000e-01 5.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.563579468402650940e-01 5.771436378661658484e-01
8.000000000000000444e-01 5.000000000000000000e-01 1.000000000000000000e+01 5.000000000000000000e+02 3.000000000000000000e+02 9.556177192744350624e-01 5.787538385542202457e-01
8.000000000000000444e-01 5.999999999999999778e-01 3.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.516053764138325821e-01 5.650493034034900219e-01
8.000000000000000444e-01 5.999999999999999778e-01 5.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.557348251142605555e-01 5.824452748500950072e-01
8.000000000000000444e-01 5.999999999999999778e-01 1.000000000000000000e+01 5.000000000000000000e+02 3.000000000000000000e+02 9.569535862617766231e-01 5.927772322378598302e-01
8.000000000000000444e-01 6.999999999999999556e-01 3.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.495210083573462079e-01 5.644507217429677315e-01
8.000000000000000444e-01 6.999999999999999556e-01 5.000000000000000000e+00 5.000000000000000000e+02 3.000000000000000000e+02 9.543331495008532395e-01 5.864188533406378134e-01
8.000000000000000444e-01 6.999999999999999556e-01 1.000000000000000000e+01 5.000000000000000000e+02 3.000000000000000000e+02 9.576271868489434347e-01 5.965247745251551770e-01
